epoch,mpe-large-spread-v2_teamcomm_inter_mFalse_vTrue_333 - episode_return,mpe-large-spread-v2_teamcomm_inter_mFalse_vTrue_333 - episode_return__MIN,mpe-large-spread-v2_teamcomm_inter_mFalse_vTrue_333 - episode_return__MAX,mpe-large-spread-v2_teamcomm_no_mTrue_vFalse_ming - episode_return,mpe-large-spread-v2_teamcomm_no_mTrue_vFalse_ming - episode_return__MIN,mpe-large-spread-v2_teamcomm_no_mTrue_vFalse_ming - episode_return__MAX
352,-337.2,-337.2,-337.2,-330,-330,-330
353,-463.6,-463.6,-463.6,-333.9,-333.9,-333.9
354,-394.8,-394.8,-394.8,-410.4,-410.4,-410.4
355,-368.9,-368.9,-368.9,-405.5,-405.5,-405.5
356,-365.2,-365.2,-365.2,-356.8,-356.8,-356.8
357,-381,-381,-381,-363.8,-363.8,-363.8
358,-403.8,-403.8,-403.8,-378.1,-378.1,-378.1
359,-392.4,-392.4,-392.4,-366.8,-366.8,-366.8
360,-388.1,-388.1,-388.1,-332.4,-332.4,-332.4
361,-359,-359,-359,-352.9,-352.9,-352.9
362,-377.2,-377.2,-377.2,-344.3,-344.3,-344.3
363,-411.4,-411.4,-411.4,-338.4,-338.4,-338.4
364,-450.2,-450.2,-450.2,-379.8,-379.8,-379.8
365,-429.2,-429.2,-429.2,-441.6,-441.6,-441.6
366,-308.4,-308.4,-308.4,-371.4,-371.4,-371.4
367,-331.7,-331.7,-331.7,-320.5,-320.5,-320.5
368,-363.1,-363.1,-363.1,-357.5,-357.5,-357.5
369,-391.7,-391.7,-391.7,-325.6,-325.6,-325.6
370,-399.2,-399.2,-399.2,-326,-326,-326
371,-353.3,-353.3,-353.3,-324.4,-324.4,-324.4
372,-369,-369,-369,-336.4,-336.4,-336.4
373,-350.6,-350.6,-350.6,-332,-332,-332
374,-383.4,-383.4,-383.4,-336.8,-336.8,-336.8
375,-397.3,-397.3,-397.3,-378.9,-378.9,-378.9
376,-382.1,-382.1,-382.1,-290.1,-290.1,-290.1
377,-361.9,-361.9,-361.9,-368.6,-368.6,-368.6
378,-383,-383,-383,-392.6,-392.6,-392.6
379,-406.4,-406.4,-406.4,-399.3,-399.3,-399.3
380,-416,-416,-416,-340.2,-340.2,-340.2
381,-418,-418,-418,-381.1,-381.1,-381.1
382,-376.6,-376.6,-376.6,-336,-336,-336
383,-423.1,-423.1,-423.1,-355.4,-355.4,-355.4
384,-368.8,-368.8,-368.8,-343.5,-343.5,-343.5
385,-335.6,-335.6,-335.6,-394.1,-394.1,-394.1
386,-352.8,-352.8,-352.8,-351.5,-351.5,-351.5
387,-373.6,-373.6,-373.6,-362.1,-362.1,-362.1
388,-384.7,-384.7,-384.7,-379.9,-379.9,-379.9
389,-356.6,-356.6,-356.6,-324.5,-324.5,-324.5
390,-401.7,-401.7,-401.7,-341.7,-341.7,-341.7
391,-371.6,-371.6,-371.6,-373.1,-373.1,-373.1
392,-330.5,-330.5,-330.5,-391.5,-391.5,-391.5
393,-352.3,-352.3,-352.3,-377.1,-377.1,-377.1
394,-423,-423,-423,-327.1,-327.1,-327.1
395,-428.1,-428.1,-428.1,-381.2,-381.2,-381.2
396,-353.5,-353.5,-353.5,-327.7,-327.7,-327.7
397,-380.2,-380.2,-380.2,-304.6,-304.6,-304.6
398,-374,-374,-374,-359.4,-359.4,-359.4
399,-410.1,-410.1,-410.1,-403.2,-403.2,-403.2
400,-376.5,-376.5,-376.5,-313.9,-313.9,-313.9
401,-410.4,-410.4,-410.4,-381.9,-381.9,-381.9
402,-350,-350,-350,-343.1,-343.1,-343.1
403,-355.5,-355.5,-355.5,-351.6,-351.6,-351.6
404,-351.7,-351.7,-351.7,-348,-348,-348
405,-366.7,-366.7,-366.7,-399.6,-399.6,-399.6
406,-386.5,-386.5,-386.5,-352.6,-352.6,-352.6
407,-369.5,-369.5,-369.5,-373,-373,-373
