"Step","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_justentity - episode_return","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_justentity - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_justentity - episode_return__MAX","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_336figure3 - episode_return","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_336figure3 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_336figure3 - episode_return__MAX"
"205","-595.9","-595.9","-595.9","-645.2","-645.2","-645.2"
"206","-658.7","-658.7","-658.7","-579","-579","-579"
"207","-686.2","-686.2","-686.2","-604.3","-604.3","-604.3"
"208","-612.9","-612.9","-612.9","-625.8","-625.8","-625.8"
"209","-596.8","-596.8","-596.8","-674.9","-674.9","-674.9"
"210","-670.8","-670.8","-670.8","-684","-684","-684"
"211","-701.1","-701.1","-701.1","-761.3","-761.3","-761.3"
"212","-626.6","-626.6","-626.6","-672.9","-672.9","-672.9"
"213","-660.4","-660.4","-660.4","-733.2","-733.2","-733.2"
"214","-626.9","-626.9","-626.9","-680.6","-680.6","-680.6"
"215","-671.4","-671.4","-671.4","-698.4","-698.4","-698.4"
"216","-617","-617","-617","-687.6","-687.6","-687.6"
"217","-641.8","-641.8","-641.8","-698.3","-698.3","-698.3"
"218","-654.3","-654.3","-654.3","-652.2","-652.2","-652.2"
"219","-608.8","-608.8","-608.8","-707.6","-707.6","-707.6"
"220","-595.3","-595.3","-595.3","-709.3","-709.3","-709.3"
"221","-632.9","-632.9","-632.9","-650","-650","-650"
"222","-624.1","-624.1","-624.1","-608","-608","-608"
"223","-633.2","-633.2","-633.2","-684.3","-684.3","-684.3"
"224","-580.4","-580.4","-580.4","-703","-703","-703"
"225","-588","-588","-588","-678.3","-678.3","-678.3"
"226","-581","-581","-581","-701.1","-701.1","-701.1"
"227","-609.6","-609.6","-609.6","-749","-749","-749"
"228","-660.3","-660.3","-660.3","-673","-673","-673"
"229","-591.3","-591.3","-591.3","-762.6","-762.6","-762.6"
"230","-615.9","-615.9","-615.9","-522.9","-522.9","-522.9"
"231","-548.2","-548.2","-548.2","-674.2","-674.2","-674.2"
"232","-677.6","-677.6","-677.6","-711.4","-711.4","-711.4"
"233","-750","-750","-750","-771.1","-771.1","-771.1"
"234","-598.4","-598.4","-598.4","-717.6","-717.6","-717.6"
"235","-632.5","-632.5","-632.5","-766.2","-766.2","-766.2"
"236","-548.6","-548.6","-548.6","-706.8","-706.8","-706.8"
