epoch,mpe-large-spread-v2_teamcomm_no_mTrue_vTrue_333 - episode_return,mpe-large-spread-v2_teamcomm_no_mTrue_vTrue_333 - episode_return__MIN,mpe-large-spread-v2_teamcomm_no_mTrue_vTrue_333 - episode_return__MAX,mpe-large-spread-v2_teamcomm_no_mFalse_vTrue_333 - episode_return,mpe-large-spread-v2_teamcomm_no_mFalse_vTrue_333 - episode_return__MIN,mpe-large-spread-v2_teamcomm_no_mFalse_vTrue_333 - episode_return__MAX
295,-392,-392,-392,-462,-462,-462
296,-337,-337,-337,-575,-575,-575
297,-454,-454,-454,-403,-403,-403
298,-441,-441,-441,-552,-552,-552
299,-538,-538,-538,-519,-519,-519
300,-585.5,-585.5,-585.5,-377,-377,-377
301,-447,-447,-447,-499,-499,-499
302,-461,-461,-461,-497,-497,-497
303,-453.5,-453.5,-453.5,-508,-508,-508
304,-395,-395,-395,-322.5,-322.5,-322.5
305,-491.5,-491.5,-491.5,-561,-561,-561
306,-518.5,-518.5,-518.5,-478.5,-478.5,-478.5
307,-334,-334,-334,-455,-455,-455
308,-446.5,-446.5,-446.5,-441,-441,-441
309,-439,-439,-439,-400.5,-400.5,-400.5
310,-379.5,-379.5,-379.5,-341,-341,-341
311,-406.5,-406.5,-406.5,-586.5,-586.5,-586.5
312,-420.5,-420.5,-420.5,-475.5,-475.5,-475.5
313,-336,-336,-336,-401,-401,-401
314,-703,-703,-703,-470,-470,-470
315,-492.5,-492.5,-492.5,-625,-625,-625
316,-470,-470,-470,-427.5,-427.5,-427.5
317,-352,-352,-352,-458,-458,-458
318,-481.5,-481.5,-481.5,-523.5,-523.5,-523.5
319,-398.5,-398.5,-398.5,-549.5,-549.5,-549.5
320,-591.5,-591.5,-591.5,-436,-436,-436
321,-621.5,-621.5,-621.5,-523,-523,-523
322,-407.5,-407.5,-407.5,-423.5,-423.5,-423.5
323,-484,-484,-484,-462,-462,-462
324,-632.5,-632.5,-632.5,-349,-349,-349
325,-465.5,-465.5,-465.5,-274.5,-274.5,-274.5
326,-323.5,-323.5,-323.5,-572.5,-572.5,-572.5
327,-318.5,-318.5,-318.5,-700.5,-700.5,-700.5
